Date,Item,Category,Amount,Payment_Method
2026-08-01,Zomato Order,Food Delivery,450,UPI
2026-08-01,Netflix Subscription,Subscriptions,649,Credit Card
2026-08-01,Uber Ride,Transport,320,UPI
2026-08-01,Coffee at Starbucks,Eating Out,380,Debit Card
2026-08-02,Groceries,Essentials,1200,UPI
2026-08-02,Instagram Ad Impulse Buy,Shopping,1999,Credit Card
2026-08-02,Gym Membership,Health,1500,UPI
2026-08-03,Swiggy Order,Food Delivery,550,UPI
2026-08-03,Amazon Prime,Subscriptions,299,Credit Card
2026-08-03,Movie Tickets,Entertainment,600,UPI
2026-08-03,Petrol,Transport,800,Debit Card
2026-08-04,Zomato Order,Food Delivery,380,UPI
2026-08-04,Spotify Premium,Subscriptions,119,UPI
2026-08-04,New Sneakers,Shopping,4500,Credit Card
2026-08-05,Groceries,Essentials,950,UPI
2026-08-05,Electricity Bill,Bills,2100,UPI
2026-08-05,Swiggy Order,Food Delivery,420,UPI
2026-08-06,Uber Ride,Transport,250,UPI
2026-08-06,Bubble Tea,Eating Out,220,UPI
2026-08-06,YouTube Premium,Subscriptions,149,UPI
2026-08-06,Phone Case,Shopping,799,Credit Card
2026-08-07,Zomato Order,Food Delivery,650,UPI
2026-08-07,Weekend Brunch,Eating Out,1400,Credit Card
2026-08-07,Clothes Shopping,Shopping,3200,Credit Card
2026-08-08,Groceries,Essentials,1100,UPI
2026-08-08,Mobile Recharge,Bills,599,UPI
2026-08-08,Swiggy Order,Food Delivery,480,UPI
2026-08-08,Books,Education,350,UPI
2026-08-09,Uber Ride,Transport,410,UPI
2026-08-09,Dominos Pizza,Food Delivery,720,UPI
2026-08-09,Gaming Top-up,Entertainment,500,UPI
2026-08-10,Zomato Order,Food Delivery,390,UPI
2026-08-10,Coursera Subscription,Education,2499,Credit Card
2026-08-10,Groceries,Essentials,880,UPI
2026-08-11,Swiggy Order,Food Delivery,550,UPI
2026-08-11,Cafe Visit,Eating Out,650,Debit Card
2026-08-11,Hair Cut,Personal Care,400,UPI
2026-08-12,Uber Ride,Transport,380,UPI
2026-08-12,Zomato Order,Food Delivery,470,UPI
2026-08-12,Skincare Products,Personal Care,1200,Credit Card
2026-08-12,Water Bill,Bills,300,UPI
2026-08-13,Groceries,Essentials,1350,UPI
2026-08-13,Swiggy Order,Food Delivery,600,UPI
2026-08-13,Concert Tickets,Entertainment,2500,Credit Card
2026-08-14,Zomato Order,Food Delivery,520,UPI
2026-08-14,Uber Ride,Transport,290,UPI
2026-08-14,Random Amazon Purchase,Shopping,1800,Credit Card
2026-08-14,Cloud Storage Plan,Subscriptions,210,UPI
2026-08-15,Groceries,Essentials,1050,UPI
2026-08-15,Swiggy Order,Food Delivery,380,UPI
2026-08-15,Independence Day Party,Entertainment,1500,UPI
2026-08-15,Chai and Snacks,Eating Out,150,UPI
2026-08-16,Zomato Order,Food Delivery,440,UPI
2026-08-16,Petrol,Transport,900,Debit Card
2026-08-16,Gym Protein Shake,Health,850,UPI
2026-08-17,Swiggy Order,Food Delivery,510,UPI
2026-08-17,New Earphones,Shopping,2300,Credit Card
2026-08-17,Uber Ride,Transport,350,UPI
2026-08-18,Groceries,Essentials,1200,UPI
2026-08-18,Zomato Order,Food Delivery,600,UPI
2026-08-18,Movie + Popcorn,Entertainment,900,UPI
2026-08-19,Internet Bill,Bills,999,UPI
2026-08-19,Swiggy Order,Food Delivery,430,UPI
2026-08-19,Uber Ride,Transport,310,UPI
2026-08-19,Fancy Restaurant,Eating Out,2200,Credit Card
2026-08-20,Zomato Order,Food Delivery,480,UPI
2026-08-20,Groceries,Essentials,920,UPI
2026-08-20,Laundry Service,Personal Care,350,UPI
2026-08-21,Swiggy Order,Food Delivery,550,UPI
2026-08-21,Uber Ride,Transport,420,UPI
2026-08-21,Board Game Cafe,Entertainment,700,UPI
2026-08-22,Groceries,Essentials,1100,UPI
2026-08-22,Zomato Order,Food Delivery,500,UPI
2026-08-22,Sneaker Cleaning Kit,Shopping,450,UPI
2026-08-23,Swiggy Order,Food Delivery,620,UPI
2026-08-23,Uber Ride,Transport,380,UPI
2026-08-23,Street Food,Eating Out,250,UPI
2026-08-24,Groceries,Essentials,1300,UPI
2026-08-24,Zomato Order,Food Delivery,470,UPI
2026-08-24,Haircut + Beard Trim,Personal Care,500,UPI
2026-08-24,Udemy Course,Education,499,UPI
2026-08-25,Swiggy Order,Food Delivery,530,UPI
2026-08-25,Uber Ride,Transport,340,UPI
2026-08-25,Impulse Amazon Buy,Shopping,1650,Credit Card
2026-08-25,Coffee,Eating Out,280,UPI
