Date,App_Name,Category,Minutes_Used
2026-08-12,VS Code,Coding,180
2026-08-12,Instagram,Social Media,120
2026-08-12,YouTube,Entertainment,90
2026-08-12,Slack,Productivity,45
2026-08-12,Duolingo,Education,20
2026-08-13,VS Code,Coding,240
2026-08-13,TikTok,Social Media,150
2026-08-13,Netflix,Entertainment,120
2026-08-13,GitHub,Coding,30
2026-08-13,Notion,Productivity,60
2026-08-14,VS Code,Coding,310
2026-08-14,Instagram,Social Media,45
2026-08-14,YouTube,Entertainment,30
2026-08-14,Slack,Productivity,50
2026-08-14,Duolingo,Education,15
2026-08-15,Instagram,Social Media,200
2026-08-15,TikTok,Social Media,180
2026-08-15,YouTube,Entertainment,150
2026-08-15,VS Code,Coding,15
2026-08-15,Notion,Productivity,10
2026-08-16,VS Code,Coding,90
2026-08-16,Instagram,Social Media,250
2026-08-16,TikTok,Social Media,210
2026-08-16,YouTube,Entertainment,180
2026-08-16,Slack,Productivity,20
2026-08-17,VS Code,Coding,280
2026-08-17,GitHub,Coding,45
2026-08-17,Slack,Productivity,60
2026-08-17,Instagram,Social Media,30
2026-08-17,Duolingo,Education,25
2026-08-18,VS Code,Coding,320
2026-08-18,GitHub,Coding,60
2026-08-18,Slack,Productivity,80
2026-08-18,Instagram,Social Media,40
2026-08-18,Coursera,Education,90
2026-08-19,VS Code,Coding,150
2026-08-19,TikTok,Social Media,190
2026-08-19,YouTube,Entertainment,100
2026-08-19,Slack,Productivity,30
2026-08-19,Duolingo,Education,20
2026-08-20,VS Code,Coding,340
2026-08-20,GitHub,Coding,80
2026-08-20,Slack,Productivity,70
2026-08-20,Instagram,Social Media,15
2026-08-20,Coursera,Education,45
2026-08-21,VS Code,Coding,290
2026-08-21,GitHub,Coding,50
2026-08-21,Instagram,Social Media,60
2026-08-21,YouTube,Entertainment,90
2026-08-21,Slack,Productivity,40
2026-08-22,Instagram,Social Media,180
2026-08-22,TikTok,Social Media,120
2026-08-22,YouTube,Entertainment,200
2026-08-22,Netflix,Entertainment,180
2026-08-22,Notion,Productivity,15
2026-08-23,Instagram,Social Media,220
2026-08-23,TikTok,Social Media,160
2026-08-23,YouTube,Entertainment,240
2026-08-23,Netflix,Entertainment,150
2026-08-23,VS Code,Coding,20
2026-08-24,VS Code,Coding,300
2026-08-24,GitHub,Coding,75
2026-08-24,Slack,Productivity,90
2026-08-24,Instagram,Social Media,30
2026-08-24,Duolingo,Education,30
2026-08-25,VS Code,Coding,330
2026-08-25,GitHub,Coding,90
2026-08-25,Slack,Productivity,70
2026-08-25,Instagram,Social Media,50
2026-08-25,TikTok,Social Media,180
2026-08-25,YouTube,Entertainment,120
